"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"11";"90,61";"1,39";"2,92";"IBK";"true";"true";"false";"4";"68";"563";"15";"0,055556";"0,210526";"0,552006";"0,043677"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"RANDOM_FOREST";"true";"true";"false";"26";"6";"294";"328";"0,812500";"0,073446";"0,772924";"0,049402"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"NAIVE_BAYES";"true";"true";"false";"51";"3";"297";"303";"0,944444";"0,144068";"0,910810";"0,124567"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"IBK";"true";"true";"false";"98";"54";"246";"256";"0,644737";"0,276836";"0,548418";"0,092106"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"RANDOM_FOREST";"true";"true";"false";"228";"8";"285";"130";"0,966102";"0,636872";"0,868901";"0,587365"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"NAIVE_BAYES";"true";"true";"false";"236";"11";"282";"122";"0,955466";"0,659218";"0,923461";"0,601006"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"IBK";"true";"true";"false";"211";"24";"269";"147";"0,897872";"0,589385";"0,760744";"0,488844"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"RANDOM_FOREST";"true";"true";"false";"210";"7";"263";"179";"0,967742";"0,539846";"0,967476";"0,468290"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"NAIVE_BAYES";"true";"true";"false";"329";"0";"270";"60";"1,000000";"0,845758";"0,998205";"0,817956"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"IBK";"true";"true";"false";"312";"8";"262";"77";"0,975000";"0,802057";"0,953399";"0,743369"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"RANDOM_FOREST";"true";"true";"false";"2";"371";"277";"1";"0,005362";"0,666667";"0,510288";"0,001509"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"NAIVE_BAYES";"true";"true";"false";"2";"381";"267";"1";"0,005222";"0,666667";"0,754115";"0,001229"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"IBK";"true";"true";"false";"2";"387";"261";"1";"0,005141";"0,666667";"0,470422";"0,001068"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"RANDOM_FOREST";"true";"true";"false";"1";"420";"231";"0";"0,002375";"1,000000";"0,751152";"0,001684"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"NAIVE_BAYES";"true";"true";"false";"1";"373";"278";"0";"0,002674";"1,000000";"0,993088";"0,002281"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"IBK";"true";"true";"false";"1";"406";"245";"0";"0,002457";"1,000000";"0,632104";"0,001848"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"RANDOM_FOREST";"true";"true";"false";"25";"2";"320";"393";"0,925926";"0,059809";"0,924827";"0,047038"
