"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"11";"90,61";"1,39";"2,92";"IBK";"true";"true";"true";"0";"92";"539";"19";"0,000000";"0,000000";"0,427100";"-0,050922"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"RANDOM_FOREST";"true";"true";"true";"167";"113";"187";"187";"0,596429";"0,471751";"0,707787";"0,093329"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"NAIVE_BAYES";"true";"true";"true";"62";"5";"295";"292";"0,925373";"0,175141";"0,856756";"0,147698"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"IBK";"true";"true";"true";"29";"8";"292";"325";"0,783784";"0,081921";"0,527627";"0,051133"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"RANDOM_FOREST";"true";"true";"true";"264";"50";"243";"94";"0,840764";"0,737430";"0,847637";"0,559159"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"NAIVE_BAYES";"true";"true";"true";"64";"60";"233";"294";"0,516129";"0,178771";"0,673232";"-0,024249"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"IBK";"true";"true";"true";"130";"41";"252";"228";"0,760234";"0,363128";"0,613162";"0,210973"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"RANDOM_FOREST";"true";"true";"true";"385";"61";"209";"4";"0,863229";"0,989717";"0,976769";"0,789278"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"NAIVE_BAYES";"true";"true";"true";"378";"2";"268";"11";"0,994737";"0,971722";"0,995354";"0,959423"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"IBK";"true";"true";"true";"351";"56";"214";"38";"0,862408";"0,902314";"0,890441";"0,702065"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"RANDOM_FOREST";"true";"true";"true";"2";"421";"227";"1";"0,004728";"0,666667";"0,489455";"0,000240"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"NAIVE_BAYES";"true";"true";"true";"2";"377";"271";"1";"0,005277";"0,666667";"0,750257";"0,001339"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"IBK";"true";"true";"true";"2";"440";"208";"1";"0,004525";"0,666667";"0,486626";"-0,000167"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"RANDOM_FOREST";"true";"true";"true";"1";"383";"268";"0";"0,002604";"1,000000";"0,735791";"0,002142"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"NAIVE_BAYES";"true";"true";"true";"1";"375";"276";"0";"0,002660";"1,000000";"0,993856";"0,002253"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"IBK";"true";"true";"true";"1";"415";"236";"0";"0,002404";"1,000000";"0,680492";"0,001741"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"RANDOM_FOREST";"true";"true";"true";"342";"16";"306";"76";"0,955307";"0,818182";"0,946971";"0,752393"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"NAIVE_BAYES";"true";"true";"true";"357";"29";"293";"61";"0,924870";"0,854067";"0,942238";"0,755384"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"IBK";"true";"true";"true";"66";"27";"295";"352";"0,709677";"0,157895";"0,856924";"0,066353"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"RANDOM_FOREST";"true";"true";"true";"15";"2";"340";"390";"0,882353";"0,037037";"0,582637";"0,028660"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"NAIVE_BAYES";"true";"true";"true";"7";"0";"342";"398";"1,000000";"0,017284";"0,943174";"0,015849"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"IBK";"true";"true";"true";"29";"21";"321";"376";"0,580000";"0,071605";"0,906054";"0,009439"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"RANDOM_FOREST";"true";"true";"true";"11";"2";"345";"405";"0,846154";"0,026442";"0,909690";"0,018862"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"NAIVE_BAYES";"true";"true";"true";"0";"0";"347";"416";"NaN";"0,000000";"0,482463";"0,000000"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"IBK";"true";"true";"true";"17";"11";"336";"399";"0,607143";"0,040865";"0,906167";"0,008387"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"RANDOM_FOREST";"true";"true";"true";"41";"383";"287";"57";"0,096698";"0,418367";"0,464484";"-0,063337"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"NAIVE_BAYES";"true";"true";"true";"40";"379";"291";"58";"0,095465";"0,408163";"0,479089";"-0,065678"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"IBK";"true";"true";"true";"40";"376";"294";"58";"0,096154";"0,408163";"0,394060";"-0,064160"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"RANDOM_FOREST";"true";"true";"true";"1";"445";"356";"14";"0,002242";"0,066667";"0,396005";"-0,032382"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"NAIVE_BAYES";"true";"true";"true";"0";"449";"352";"15";"0,000000";"0,000000";"0,263920";"-0,036889"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"IBK";"true";"true";"true";"0";"462";"339";"15";"0,000000";"0,000000";"0,306492";"-0,036923"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"RANDOM_FOREST";"true";"true";"true";"14";"0";"767";"200";"1,000000";"0,065421";"0,531909";"0,098660"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"NAIVE_BAYES";"true";"true";"true";"0";"0";"767";"214";"NaN";"0,000000";"0,533828";"0,000000"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"IBK";"true";"true";"true";"14";"0";"767";"200";"1,000000";"0,065421";"0,528470";"0,098660"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"RANDOM_FOREST";"true";"true";"true";"22";"3";"827";"238";"0,880000";"0,084615";"0,548318";"0,117453"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"NAIVE_BAYES";"true";"true";"true";"14";"0";"830";"246";"1,000000";"0,053846";"0,538869";"0,079758"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"IBK";"true";"true";"true";"21";"3";"827";"239";"0,875000";"0,080769";"0,538327";"0,112091"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"RANDOM_FOREST";"true";"true";"true";"22";"0";"802";"3";"1,000000";"0,880000";"0,940000";"0,934311"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"NAIVE_BAYES";"true";"true";"true";"22";"0";"802";"3";"1,000000";"0,880000";"0,940000";"0,934311"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"IBK";"true";"true";"true";"22";"0";"802";"3";"1,000000";"0,880000";"0,940000";"0,934311"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"RANDOM_FOREST";"true";"true";"true";"4";"309";"1162";"4";"0,012780";"0,500000";"0,682826";"0,014527"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"NAIVE_BAYES";"true";"true";"true";"2";"84";"1387";"6";"0,023256";"0,250000";"0,657121";"0,032982"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"IBK";"true";"true";"true";"5";"294";"1177";"3";"0,016722";"0,625000";"0,698122";"0,022272"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"RANDOM_FOREST";"true";"true";"true";"1";"320";"1007";"0";"0,003115";"1,000000";"0,798041";"0,004717"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"NAIVE_BAYES";"true";"true";"true";"0";"56";"1271";"1";"0,000000";"0,000000";"0,810098";"-0,001482"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"IBK";"true";"true";"true";"1";"289";"1038";"0";"0,003448";"1,000000";"0,899397";"0,005380"
