"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"11";"90,61";"1,39";"2,92";"IBK";"true";"true";"true";"4";"68";"563";"15";"0,055556";"0,210526";"0,551380";"0,043677"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"RANDOM_FOREST";"true";"true";"true";"2";"0";"300";"352";"1,000000";"0,005650";"0,502825";"0,005186"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"NAIVE_BAYES";"true";"true";"true";"21";"2";"298";"333";"0,913043";"0,059322";"0,526328";"0,048568"
"SYNCOPE";"12";"91,37";"1,52";"54,13";"IBK";"true";"true";"true";"98";"54";"246";"256";"0,644737";"0,276836";"0,548418";"0,092106"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"RANDOM_FOREST";"true";"true";"true";"0";"0";"293";"358";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"NAIVE_BAYES";"true";"true";"true";"232";"10";"283";"126";"0,958678";"0,648045";"0,806957";"0,592616"
"SYNCOPE";"13";"92,09";"1,40";"54,99";"IBK";"true";"true";"true";"211";"24";"269";"147";"0,897872";"0,589385";"0,753737";"0,488844"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"RANDOM_FOREST";"true";"true";"true";"192";"0";"270";"197";"1,000000";"0,493573";"0,746787";"0,444020"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"NAIVE_BAYES";"true";"true";"true";"10";"0";"270";"379";"1,000000";"0,025707";"0,512853";"0,021163"
"SYNCOPE";"14";"92,58";"6,44";"59,03";"IBK";"true";"true";"true";"238";"8";"262";"151";"0,967480";"0,611825";"0,791098";"0,538566"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"RANDOM_FOREST";"true";"true";"true";"0";"1";"647";"3";"0,000000";"0,000000";"0,499228";"-0,002309"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"NAIVE_BAYES";"true";"true";"true";"2";"332";"316";"1";"0,005988";"0,666667";"0,577160";"0,002760"
"SYNCOPE";"15";"93,17";"11,22";"0,46";"IBK";"true";"true";"true";"2";"385";"263";"1";"0,005168";"0,666667";"0,536265";"0,001121"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"RANDOM_FOREST";"true";"true";"true";"1";"320";"331";"0";"0,003115";"1,000000";"0,754224";"0,003163"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"NAIVE_BAYES";"true";"true";"true";"1";"183";"468";"0";"0,005435";"1,000000";"0,859447";"0,007784"
"SYNCOPE";"16";"93,60";"14,95";"0,15";"IBK";"true";"true";"true";"1";"406";"245";"0";"0,002457";"1,000000";"0,688172";"0,001848"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"RANDOM_FOREST";"true";"true";"true";"5";"0";"322";"413";"1,000000";"0,011962";"0,505981";"0,010426"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"NAIVE_BAYES";"true";"true";"true";"355";"15";"307";"63";"0,959459";"0,849282";"0,901349";"0,789189"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"IBK";"true";"true";"true";"12";"14";"308";"406";"0,461538";"0,028708";"0,492615";"-0,012959"
