Dataset;#TrainingRelease;%Training;%DefectiveInTraining;%DefectiveInTesting;Classifier;Balancing;FeatureSelection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
SYNCOPE;11;90.61;1.39;2.92;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;1;10;621;18;0.090909;0.052632;0.518392;0.046222
SYNCOPE;12;91.37;1.52;54.13;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;21;2;298;333;0.913043;0.059322;0.526328;0.048568
SYNCOPE;13;92.09;1.4;54.99;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;232;10;283;126;0.958678;0.648045;0.806957;0.592616
SYNCOPE;14;92.58;6.44;59.03;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;10;0;270;379;1;0.025707;0.512853;0.021163
SYNCOPE;15;93.17;11.22;0.46;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;2;332;316;1;0.005988;0.666667;0.57716;0.00276
SYNCOPE;16;93.6;14.95;0.15;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;1;183;468;0;0.005435;1;0.859447;0.007784
SYNCOPE;17;93.23;14.02;56.49;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;355;15;307;63;0.959459;0.849282;0.901349;0.789189
SYNCOPE;18;93.6;13.08;54.22;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;0;0;342;405;NaN;0;0.5;0
SYNCOPE;19;93.87;12.25;54.52;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;0;0;347;416;NaN;0;0.5;0
SYNCOPE;20;94.18;14.74;12.76;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;36;319;351;62;0.101408;0.367347;0.445614;-0.051321
SYNCOPE;21;94.18;20.13;1.84;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;0;404;397;15;0;0;0.247815;-0.036751
SYNCOPE;22;93.46;19.7;21.81;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;0;0;767;214;NaN;0;0.5;0
SYNCOPE;23;93.23;18.6;23.85;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;14;0;830;246;1;0.053846;0.526923;0.079758
SYNCOPE;24;95.11;17.45;3.02;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;22;0;802;3;1;0.88;0.94;0.934311
SYNCOPE;25;91.96;19.29;0.54;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;1;35;1436;7;0.027778;0.125;0.550603;0.03693
SYNCOPE;26;93.27;17.88;0.08;NAIVE_BAYES;true;true;SENSITIVE THRESHOLD;0;13;1314;1;0;0;0.495102;-0.0014
SYNCOPE;1;49.95;0;0.2;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;0;489;1;NaN;0;0.993865;0
SYNCOPE;2;66.55;0.41;0;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;0;492;0;NaN;NaN;NaN;1
SYNCOPE;3;74.94;0.27;0;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;62;430;0;0;NaN;NaN;0
SYNCOPE;4;79.03;0.2;0.38;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;0;519;2;NaN;0;0.300578;0
SYNCOPE;5;80.83;0.16;10.02;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;0;530;59;NaN;0;0.206764;0
SYNCOPE;6;83.14;0.2;7.54;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;0;576;47;NaN;0;0.243406;0
SYNCOPE;7;85.3;1.22;5.34;NAIVE_BAYES;true;true;SENSITIVE LEARNING;9;101;502;25;0.081818;0.264706;0.511023;0.047313
SYNCOPE;8;87.03;1.89;18.42;NAIVE_BAYES;true;true;SENSITIVE LEARNING;115;366;161;4;0.239085;0.966387;0.69374;0.12486
SYNCOPE;9;88.52;1.65;2.94;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;27;600;19;0;0;0.623772;-0.035762
SYNCOPE;10;89.68;1.46;3.4;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;11;614;22;0;0;0.188945;-0.023195
SYNCOPE;11;90.61;1.39;2.92;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;134;497;19;0;0;0.182584;-0.053965
SYNCOPE;12;91.37;1.52;54.13;NAIVE_BAYES;true;true;SENSITIVE LEARNING;62;5;295;292;0.925373;0.175141;0.856756;0.147698
SYNCOPE;13;92.09;1.4;54.99;NAIVE_BAYES;true;true;SENSITIVE LEARNING;64;60;233;294;0.516129;0.178771;0.673232;-0.024249
SYNCOPE;14;92.58;6.44;59.03;NAIVE_BAYES;true;true;SENSITIVE LEARNING;378;2;268;11;0.994737;0.971722;0.995354;0.959423
SYNCOPE;15;93.17;11.22;0.46;NAIVE_BAYES;true;true;SENSITIVE LEARNING;2;377;271;1;0.005277;0.666667;0.750257;0.001339
SYNCOPE;16;93.6;14.95;0.15;NAIVE_BAYES;true;true;SENSITIVE LEARNING;1;375;276;0;0.00266;1;0.993856;0.002253
SYNCOPE;17;93.23;14.02;56.49;NAIVE_BAYES;true;true;SENSITIVE LEARNING;357;29;293;61;0.92487;0.854067;0.942238;0.755384
SYNCOPE;18;93.6;13.08;54.22;NAIVE_BAYES;true;true;SENSITIVE LEARNING;7;0;342;398;1;0.017284;0.943174;0.015849
SYNCOPE;19;93.87;12.25;54.52;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;0;347;416;NaN;0;0.482463;0
SYNCOPE;20;94.18;14.74;12.76;NAIVE_BAYES;true;true;SENSITIVE LEARNING;40;379;291;58;0.095465;0.408163;0.479089;-0.065678
SYNCOPE;21;94.18;20.13;1.84;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;449;352;15;0;0;0.26392;-0.036889
SYNCOPE;22;93.46;19.7;21.81;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;0;767;214;NaN;0;0.533828;0
SYNCOPE;23;93.23;18.6;23.85;NAIVE_BAYES;true;true;SENSITIVE LEARNING;14;0;830;246;1;0.053846;0.538869;0.079758
SYNCOPE;24;95.11;17.45;3.02;NAIVE_BAYES;true;true;SENSITIVE LEARNING;22;0;802;3;1;0.88;0.94;0.934311
SYNCOPE;25;91.96;19.29;0.54;NAIVE_BAYES;true;true;SENSITIVE LEARNING;2;84;1387;6;0.023256;0.25;0.657121;0.032982
SYNCOPE;26;93.27;17.88;0.08;NAIVE_BAYES;true;true;SENSITIVE LEARNING;0;56;1271;1;0;0;0.810098;-0.001482
