Dataset;#TrainingRelease;%Training;%DefectiveInTraining;%DefectiveInTesting;Classifier;Balancing;FeatureSelection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;1;43.67;0;19.38;RANDOM_FOREST;true;true;false;0;0;183;44;0;0;0.5;0
BOOKKEEPER;1;43.67;0;19.38;NAIVE_BAYES;true;true;false;0;0;183;44;0;0;0.338115;0
BOOKKEEPER;1;43.67;0;19.38;IBK;true;true;false;0;0;183;44;0;0;0.617611;0
BOOKKEEPER;2;56.44;15.88;9;RANDOM_FOREST;true;true;false;28;145;138;0;0.16185;1;0.771201;0.1463
BOOKKEEPER;2;56.44;15.88;9;NAIVE_BAYES;true;true;false;13;26;257;15;0.333333;0.464286;0.764324;0.31641
BOOKKEEPER;2;56.44;15.88;9;IBK;true;true;false;24;111;172;4;0.177778;0.857143;0.728925;0.17082
BOOKKEEPER;3;66.67;17.09;9.52;RANDOM_FOREST;true;true;false;32;62;261;2;0.340426;0.941176;0.931297;0.418685
BOOKKEEPER;3;66.67;17.09;9.52;NAIVE_BAYES;true;true;false;26;21;302;8;0.553191;0.764706;0.922601;0.597488
BOOKKEEPER;3;66.67;17.09;9.52;IBK;true;true;false;28;94;229;6;0.229508;0.823529;0.770078;0.246772
BOOKKEEPER;4;73.96;12.7;1.06;RANDOM_FOREST;true;true;false;0;28;345;4;0;0;0.863606;-0.018919
BOOKKEEPER;4;73.96;12.7;1.06;NAIVE_BAYES;true;true;false;2;18;355;2;0.1;0.5;0.708445;0.151665
BOOKKEEPER;4;73.96;12.7;1.06;IBK;true;true;false;1;33;340;3;0.029412;0.25;0.580764;0.034296
